数据库：月度数据
时间：最近36个月
指标,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月
客运量当期值(万人),,42108,56582,55534,57633,54039,72751,67930,54904,83398,75138,84868,80639,74544,57293,67112,86756,91786,107355,97345,98214,89292,80051,73748,57320,38573,18645,127415,134466,136363,155616,146875,157821,153968,142289,145481
客运量累计值(万人),,154224,112116,55534,830257,772616,718577,645826,577896,522992,439593,364456,279588,198950,124405,67112,966512,879743,787958,680602,583258,485043,395751,315701,241953,184633,146060,127415,1760435,1625964,1489601,1333985,1187109,1029289,875321,733032
客运量同比增长(%),,-43.5,-1.3,-17.3,-33.6,-41.1,-32.2,-30.2,-44.1,-6.6,-6.1,15.1,40.7,93.3,207.3,-47.3,-35.5,-32.7,-31.0,-33.7,-37.8,-42.0,-43.7,-49.3,-60.2,-73.0,-88.3,-10.1,-3.3,-1.6,-2.7,-2.4,-1.2,-0.7,-1.5,-0.2
客运量累计增长(%),,-22.5,-9.9,-17.3,-14.1,-12.2,-8.8,-5.1,-0.9,7.8,11.1,15.4,15.6,7.8,-14.8,-47.3,-45.1,-45.9,-47.1,-49.0,-50.9,-52.9,-54.8,-56.9,-58.8,-58.4,-51.4,-10.1,-1.9,-1.7,-1.8,-1.6,-1.6,-1.6,-1.8,-1.8
铁路客运量当期值(万人),,10145,19052,17874,16498,14396,24767,22711,15409,30847,24607,29415,28110,24376,14318,15715,20743,21504,27169,23537,24864,20737,16589,15675,11160,7495,3723,27126,26306,27080,31903,29873,37884,35570,30735,30801
铁路客运量累计值(万人),,47072,36927,17874,261171,244673,230277,205509,182798,167389,136542,111934,82519,54408,30033,15715,220323,199580,178075,150906,127369,102505,81768,65179,49504,38344,30849,27126,366002,339696,312616,280713,250840,212956,177386,146651
铁路客运量同比增长(%),,-58.4,33.1,13.7,-20.6,-33.1,-8.8,-3.5,-38.0,48.8,48.3,87.7,151.9,225.2,284.6,-42.1,-21.1,-20.6,-14.8,-21.2,-34.4,-41.7,-46.0,-49.1,-63.5,-73.1,-87.2,-4.3,4.5,7.6,4.7,5.7,10.3,10.2,10.4,14.8
铁路客运量累计增长(%),,-13.5,23.0,13.7,18.5,22.6,29.3,36.2,43.5,63.3,67.0,71.7,66.7,41.9,-2.6,-42.1,-39.8,-41.2,-43.0,-46.2,-49.2,-51.9,-53.9,-55.6,-57.3,-55.1,-46.3,-4.3,8.4,8.8,8.9,9.4,9.8,9.7,9.6,9.5
公路客运量当期值(万人),,29759,33328,33801,37587,36521,42429,40505,36243,45695,44895,48202,45605,44087,39397,47527,60632,64378,73173,67449,66934,63246,59140,54234,43603,29007,13792,93839,101200,101962,115364,109178,110843,109953,103883,106669
公路客运量累计值(万人),,96887,67129,33801,508693,471106,434585,392157,351652,315409,269714,224819,176617,131012,86924,47527,689425,628793,564415,491242,423793,356859,293613,234474,180240,136637,107630,93839,1301173,1199973,1098012,982647,873469,762626,652673,548790
公路客运量同比增长(%),,-32.6,-15.5,-28.9,-38.0,-43.3,-42.0,-39.9,-45.9,-27.8,-24.1,-11.1,4.6,52.0,185.7,-49.4,-40.1,-36.9,-36.6,-38.2,-39.6,-42.5,-43.1,-49.2,-58.8,-73.1,-88.7,-11.9,-5.5,-4.1,-4.9,-4.8,-4.9,-4.3,-4.9,-4.2
公路客运量累计增长(%),,-26.1,-22.8,-28.9,-26.2,-25.1,-23.0,-20.2,-17.0,-11.6,-8.1,-4.1,-2.0,-4.1,-19.2,-49.4,-47.0,-47.6,-48.6,-50.0,-51.5,-53.2,-55.0,-57.3,-59.2,-59.4,-52.9,-11.9,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.9,-4.9
水运客运量当期值(万人),,667,1073,908,839,969,1669,1102,1012,1944,1507,2146,1814,1299,1184,852,1149,1462,1980,1566,1799,1399,1248,1255,886,557,297,1390,1684,2016,2651,2348,2970,2514,2329,2561
水运客运量累计值(万人),,2647,1981,908,16337,15498,14529,12860,11757,10746,8801,7294,5148,3334,2035,852,14987,13838,12376,10396,8830,7031,5632,4384,3129,2243,1686,1390,27267,25583,23567,20916,18567,15598,13084,10754
水运客运量同比增长(%),,-48.7,-9.4,6.6,-26.9,-33.7,-15.7,-29.6,-43.8,39.0,20.8,71.0,104.7,133.3,299.0,-38.7,-32.2,-27.4,-26.9,-31.9,-41.2,-45.9,-46.0,-51.0,-61.8,-72.3,-87.2,-7.1,-4.2,-3.6,-2.4,-4.3,-2.9,-0.7,-4.0,1.6
水运客运量累计增长(%),,-20.6,-2.7,6.6,9.0,12.0,17.4,23.7,33.1,52.8,56.3,66.4,64.5,48.7,20.7,-38.7,-45.2,-46.1,-47.7,-50.4,-52.6,-54.9,-56.7,-59.0,-61.5,-61.4,-55.7,-7.1,-2.6,-2.4,-2.3,-2.3,-2.1,-1.9,-2.2,-1.7
民航客运量当期值(万人),,1537,3129,2951,2710,2153,3886,3612,2241,4912,4128,5104,5109,4782,2395,3018,4232,4441,5032,4794,4617,3910,3074,2583,1671,1515,834,5061,5276,5306,5698,5475,6124,5930,5341,5451
民航客运量累计值(万人),,7618,6081,2951,44056,41339,39187,35300,31689,29448,24536,20409,15305,10195,5413,3018,41777,37532,33091,28059,23265,18648,14738,11664,9081,7409,5895,5061,65993,60712,55407,49708,44233,38109,32179,26837
民航客运量同比增长(%),,-67.9,30.7,-2.2,-36.0,-51.5,-22.8,-24.7,-51.5,25.6,34.2,97.6,205.5,215.7,187.1,-40.4,-19.8,-16.3,-11.7,-12.5,-24.6,-34.1,-42.4,-52.6,-68.5,-71.7,-84.5,-5.3,5.1,6.0,5.3,8.9,8.2,10.2,8.2,8.7
民航客运量累计增长(%),,-25.3,12.3,-2.2,5.5,10.1,18.4,25.8,36.2,57.9,66.4,74.9,68.5,37.5,-8.2,-40.4,-36.7,-38.2,-40.3,-43.6,-47.4,-51.1,-54.2,-56.5,-57.5,-53.9,-45.0,-5.3,7.9,8.1,8.3,8.7,8.7,8.7,8.5,8.5
注：1.铁路运输数据来源于中国国家铁路集团有限公司、公路水路运输数据来源于交通运输部，民航运输数据来源于中国民用航空局。
　　　2.自2020年1月起，交通运输部根据2019道路货物运输量专项调查调整月度公路货物运输量、公路货物运输周转量统计口径，同比增速按照调整后可比口径计算。
　　　3.自2020年1月起，水路运输（海洋）统计方式改变，由行业主管部门报送调整为企业联网直报，2020年以可比口径计算增速。
　　　4.2022年公路客货运输数据包含新疆生产建设兵团数据，相关数据增速按可比口径计算（下同）。
　　　5.从2015年1月起，铁路客运统计口径发生变化，由按售票数统计改为按乘车人数统计。
　　　6.根据2013年开展的交通运输业经济统计专项调查，我部对公路水路运输量的统计口径和推算方案进行了调整。有关2014年月度公路水路客货运输量均按新方案推算并进行更新。
数据来源：国家统计局
